magnitude,depth,cdi,mmi,sig,alert
5.95,133.7,2.62,7.05,1029.6,orange
8.94,381.6,2.47,8.17,1449.8,red
7.81,611.7,9.06,3.25,1368.3,red
7.11,513.9,2.5,6.62,277.0,orange
4.81,565.6,2.72,6.15,268.6,orange
4.81,462.9,7.59,8.5,482.7,red
4.3,486.1,4.5,9.15,649.9,red
8.5,595.2,7.77,1.11,735.2,red
7.13,178.5,0.65,7.07,1223.5,orange
7.68,345.2,4.88,1.47,102.0,red
4.11,158.7,0.34,5.94,62.4,yellow
9.04,691.4,0.63,3.59,705.4,red
8.33,661.1,9.06,3.76,1254.9,red
5.1,32.4,1.39,4.18,348.2,yellow
4.95,495.4,5.32,6.59,1154.7,orange
4.95,648.0,4.11,4.01,467.7,yellow
5.58,130.5,3.47,7.59,1595.0,orange
6.73,399.7,9.0,4.64,1612.2,orange
6.25,641.3,0.22,1.62,535.1,yellow
5.51,28.6,6.64,8.05,414.0,red
7.18,489.7,9.63,3.57,740.3,orange
4.73,211.7,5.6,4.89,433.0,yellow
5.52,647.5,9.37,7.17,1210.3,orange
5.91,679.9,0.52,3.99,1486.9,yellow
6.37,661.3,4.19,1.51,1211.6,yellow
8.08,334.6,2.6,4.37,1483.8,red
5.04,604.1,7.31,9.5,714.6,red
6.67,592.0,9.81,6.78,281.4,orange
7.08,226.8,2.57,7.04,1328.3,orange
4.24,581.1,6.54,6.69,648.9,orange
7.16,30.7,1.98,2.79,1208.3,orange
4.89,419.4,5.65,4.77,487.2,yellow
4.34,164.9,4.64,7.76,146.2,orange
8.93,88.8,9.72,1.91,1786.6,red
9.02,58.5,6.09,3.5,281.2,red
8.2,488.9,3.5,3.49,1779.2,red
5.58,241.2,1.14,4.89,1759.1,yellow
4.51,508.7,1.51,9.82,1428.9,red
7.56,50.4,2.25,1.61,1187.0,red
6.29,224.1,2.51,5.67,1040.1,yellow
4.63,379.9,8.51,2.61,1559.0,green
6.57,554.6,5.61,9.74,521.0,red
4.18,226.5,5.23,2.02,841.8,green
8.73,440.0,1.15,4.63,1114.9,red
5.35,620.8,8.6,7.64,740.1,orange
7.45,433.0,7.23,7.34,769.5,orange
5.62,166.9,0.68,4.8,594.5,yellow
6.7,22.0,7.08,4.12,1015.6,orange
6.84,609.7,5.44,4.58,1531.0,orange
4.96,19.8,0.82,3.38,362.8,green
9.04,612.9,4.58,2.85,1682.0,red
8.03,372.6,4.85,5.35,1240.4,red
8.89,657.7,1.66,3.42,1481.9,red
8.65,560.2,9.46,3.59,1001.1,red
7.11,698.6,8.5,6.91,1403.1,orange
8.79,248.7,6.69,9.72,29.2,red
4.46,538.2,4.62,6.43,1473.1,orange
5.02,284.3,4.12,1.69,72.2,green
4.24,338.5,6.51,1.68,1601.8,green
5.69,441.1,5.45,9.56,1785.5,red
6.02,612.2,0.62,3.68,529.3,yellow
5.41,688.9,5.13,1.83,378.6,green
8.31,539.0,8.06,6.39,1377.7,red
5.86,295.3,4.59,6.61,455.4,orange
5.46,297.8,0.52,6.84,1558.0,orange
6.82,517.6,7.86,3.41,185.1,orange
4.73,171.0,2.01,1.14,226.7,green
8.17,81.8,2.59,9.69,1762.5,red
4.39,251.5,1.65,3.26,1212.9,green
9.13,204.6,3.3,7.08,1524.4,red
8.02,210.9,7.57,7.36,583.8,red
5.03,167.4,5.19,6.49,1217.7,orange
4.03,34.3,2.05,3.82,1069.6,green
8.24,17.4,8.78,3.44,1085.7,red
7.68,691.5,8.8,6.38,1228.6,red
7.79,302.3,8.71,8.79,1035.6,red
8.01,272.1,2.39,9.52,772.3,red
4.39,477.4,4.51,1.95,496.7,green
5.86,156.7,9.85,2.39,1383.4,yellow
4.6,665.2,7.72,9.5,407.3,red
8.49,551.5,0.27,7.63,1246.2,red
7.24,67.1,0.65,8.95,420.0,red
5.72,295.2,4.64,2.82,1125.6,yellow
4.33,616.0,9.09,6.29,1344.7,orange
5.62,661.6,5.39,7.31,393.7,orange
5.69,329.8,4.98,7.12,107.9,orange
7.79,431.3,1.05,4.67,235.8,red
7.32,121.1,6.57,1.14,1090.8,orange
8.61,693.9,8.22,6.25,1529.0,red
6.46,166.0,3.8,3.28,81.0,yellow
4.62,660.2,7.76,5.05,1321.5,yellow
7.71,456.5,9.64,9.62,614.4,red
7.96,427.4,2.04,4.59,861.4,red
6.92,361.3,5.23,8.56,1671.9,red
8.01,165.3,2.87,2.7,597.5,red
6.57,127.7,7.93,7.05,837.6,orange
6.72,158.2,5.78,9.79,24.6,red
6.22,134.6,6.35,1.92,146.9,yellow
4.13,546.8,7.98,1.07,465.5,green
4.56,248.3,3.96,4.9,50.1,yellow
4.16,45.2,9.15,1.83,1136.5,green
7.31,678.5,5.33,7.74,767.5,orange
5.63,619.2,1.58,9.23,986.7,red
6.64,649.8,6.96,4.91,314.4,orange
8.72,696.5,7.93,3.33,532.7,red
5.3,125.9,3.17,4.91,1194.9,yellow
6.13,280.4,8.57,7.51,1737.5,orange
7.93,532.0,9.06,1.08,90.8,red
5.19,488.7,2.77,6.31,1602.7,orange
4.4,112.0,9.84,6.52,1038.4,orange
5.51,572.0,1.41,6.74,1015.1,orange
4.84,161.0,2.02,3.18,900.5,green
8.83,160.6,1.84,7.43,124.9,red
8.2,378.2,8.94,1.82,161.8,red
7.29,417.1,6.54,2.79,1081.6,orange
8.53,408.2,1.52,8.9,613.7,red
8.18,68.6,4.4,7.65,1651.1,red
4.97,614.8,6.15,1.12,731.9,green
8.64,189.6,0.83,3.24,257.9,red
6.8,95.0,8.82,2.93,1286.5,orange
8.2,622.7,8.04,3.44,528.0,red
8.66,669.2,5.05,3.23,945.8,red
5.65,604.2,9.67,1.56,1256.1,yellow
4.57,567.6,4.18,5.13,1620.5,yellow
5.19,460.4,9.84,7.59,1425.9,orange
6.22,387.8,6.68,6.46,1217.4,orange
8.25,65.5,6.35,7.06,1223.3,red
8.48,288.9,1.66,1.73,1702.7,red
4.04,264.0,8.82,9.56,532.5,red
6.66,185.5,4.27,8.55,2.0,red
6.17,507.8,1.62,8.25,489.5,red
5.15,349.6,0.13,8.41,392.2,red
4.62,61.3,5.6,9.39,1191.3,red
5.76,158.0,5.27,5.9,1140.7,yellow
8.9,479.9,7.19,2.8,1068.2,red
5.68,57.9,8.9,6.55,29.2,orange
